track_id,genre,artist_name,track_name,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
00021Wy6AyMbLP2tqij86e,Anime,Capcom Sound Team,Zangiefs Theme,13,0.234,0.617,169173,0.862,0.976,G,0.141,-12.855,Major,0.0514,129.578,0.886
000CzNKC8PEt1yC3L8dqwV,Movie,Henri Salvador,Coeur Brise à Prendre - Remastered,5,0.249,0.518,130653,0.805,0,F,0.333,-6.248,Major,0.0407,79.124,0.841
000DfZJww8KiixTKuk9usJ,Reggae,Mike Love,Earthlings,30,0.366,0.631,357573,0.513,4.16E-06,D,0.109,-6.376,Major,0.0293,120.365,0.307
000EWWBkYaREzsBplYjUag,Jazz,Don Philippe,Fewerdolr,39,0.815,0.768,104924,0.137,0.922,C#,0.113,-13.284,Minor,0.0747,76.43,0.56
000xQL6tZNLJzIrtIgxqSl,Dance:Pop,ZAYN,Still Got Time,70,0.131,0.748,188491,0.627,0,G,0.0852,-6.029,Major,0.0644,120.963,0.524
0017XiMkqbTfF2AUOzlhj6,,Chad Daniels,Thanksgiving Chicken,27,0.792,0.536,127040,0.78,0,F,0.735,-9.449,Minor,0.945,173.912,0.452
001CyR8xqmmpVZFiTZJ5BC,Blues,Taj Mahal,She Knows How To Rock Me,31,0.307,0.826,160107,0.679,2.50E-05,C#,0.151,-6.802,Major,0.129,90.048,0.841
52TDNHSeWey4NFAfLDgfjL,Reggae,Bob Marley & The Wailers,Natural Mystic - Banjamin Devigne Deep Jazz Remix,31,0.322,0.675,278987,0.808,0.93,D,0.153,-9.794,Minor,0.0554,180.043,0.684
001VMKfkHZrlyj7JlQbQFL,Soundtrack,Ramin Djawadi,"Await The Kings Justice - From The ""Game Of Thrones"" Soundtrack",41,0.275,0.168,120840,0.0354,0.929,A,0.205,-25.34,Minor,0.0498,113.655,0.0301
001YQlnDSduXd5LgBd66gT,Ska,Soda Stereo,El Tiempo Es Dinero - Remasterizado 2007,38,0.0194,0.554,177267,0.921,0.0881,D,0.329,-4.589,Major,0.0758,183.571,0.7
